"","0","1","p","test"
"n","271","439","",""
"VISITAGEc (mean (SD))","37.03 (11.07)","38.38 (11.02)","0.115",""
"DIAN_EYO (mean (SD))","-12.01 (12.08)","-8.38 (11.43)","<0.001",""
"SEX = female (%)","155 (57.2)","245 (55.8)","0.776",""
"RACE (%)","","","0.100",""
"   American Indian or Alaska Native","3 (1.1)","1 (0.2)","",""
"   Asian","10 (3.7)","24 (5.5)","",""
"   Black or African American","13 (4.8)","10 (2.3)","",""
"   Native Hawaiian or Other Pacific Islander","0 (0.0)","3 (0.7)","",""
"   Other (specify)","10 (3.7)","17 (3.9)","",""
"   Unknown","5 (1.8)","3 (0.7)","",""
"   White","230 (84.9)","381 (86.8)","",""
"apoe (%)","","","0.870",""
"   22","3 (1.1)","3 (0.7)","",""
"   23","29 (10.7)","45 (10.3)","",""
"   24","9 (3.3)","9 (2.1)","",""
"   33","159 (58.7)","265 (60.5)","",""
"   34","67 (24.7)","107 (24.4)","",""
"   44","4 (1.5)","9 (2.1)","",""
"fam_mutation (%)","","","0.226",""
"   PSEN1","193 (71.2)","338 (77.0)","",""
"   PSEN2","22 (8.1)","29 (6.6)","",""
"   APP","56 (20.7)","72 (16.4)","",""
"CSFpT181_Nico_any = TRUE (%)","179 (66.1)","296 (67.4)","0.767",""
"CSFpT181_Nico_two_plus = TRUE (%)","104 (38.4)","175 (39.9)","0.753",""
"CSFpT217_Nico_any = TRUE (%)","179 (66.1)","295 (67.2)","0.816",""
"CSFpT217_Nico_two_plus = TRUE (%)","104 (38.4)","175 (39.9)","0.753",""
"LUMIPULSE_CSF_pTau_any = TRUE (%)","225 (83.0)","389 (88.6)","0.045",""
"LUMIPULSE_CSF_pTau_two_plus = TRUE (%)","135 (49.8)","228 (51.9)","0.637",""
"plasmapTau217_Nico_any = TRUE (%)","84 (31.0)","138 (31.4)","0.969",""
"plasmapTau217_Nico_two_plus = TRUE (%)","30 (11.1)","52 (11.8)","0.847",""
"plasmapTau181_Nico_any = TRUE (%)","84 (31.0)","139 (31.7)","0.918",""
"plasmapTau181_Nico_two_plus = TRUE (%)","30 (11.1)","52 (11.8)","0.847",""
"plasmapTau181_jucker_any = TRUE (%)","222 (81.9)","337 (76.8)","0.125",""
"plasmapTau181_jucker_two_plus = TRUE (%)","138 (50.9)","221 (50.3)","0.942",""
"Alamar_pTau181_any = TRUE (%)","1 (0.4)","112 (25.5)","<0.001",""
"Alamar_pTau181_two_plus = TRUE (%)","1 (0.4)","84 (19.1)","<0.001",""
"Alamar_pTau217_any = TRUE (%)","1 (0.4)","112 (25.5)","<0.001",""
"Alamar_pTau217_two_plus = TRUE (%)","1 (0.4)","84 (19.1)","<0.001",""
"AlamarCSF_pTau181_any = TRUE (%)","93 (34.3)","213 (48.5)","<0.001",""
"AlamarCSF_pTau181_two_plus = TRUE (%)","69 (25.5)","171 (39.0)","<0.001",""
"AlamarCSF_pTau217_any = TRUE (%)","93 (34.3)","213 (48.5)","<0.001",""
"AlamarCSF_pTau217_two_plus = TRUE (%)","69 (25.5)","171 (39.0)","<0.001",""
